Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
72579,Alias Grace,Margaret Atwood,"Atwood, Margaret",,"=""0385475713""","=""9780385475716""",0,3.98,Doubleday Nan A. Talese,Hardcover,468,1996,1996,,2017/06/10,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
29363252,"Conflict Is Not Abuse: Overstating Harm, Community Responsibility, and the Duty of Repair",Sarah Schulman,"Schulman, Sarah",,"=""1551526433""","=""9781551526430""",0,3.97,Arsenal Pulp Press,Paperback,299,2016,2016,,2017/06/10,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel A. van der Kolk,"Kolk, Bessel A. van der",,"=""0670785938""","=""9780670785933""",5,4.62,Viking,Hardcover,443,2014,2014,,2017/06/10,nonfiction,nonfiction (#19),read,"This is an INCREDIBLE book. I knew of trauma, but I had no inkling of its astonishingly multivariable effects on the brain and body. This book radically helped me understand the people in my life who have experienced trauma. Much like Oliver Sack's style of writing, Dr. van der Kolk mixes anecdotes from his clinical experience with broader discussions of the research around and public policy affecting trauma victims. It is very effective and engaging. ",,,1,,,0,,,,,
34489832,Rules for Resistance: Advice from Around the Globe for the Age of Trump,David    Cole,"Cole, David",Melanie Wachtell Stinnett,"=""1620973545""","=""9781620973547""",0,3.60,New Press,Paperback,,2017,,,2017/06/03,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
8441547,"I Know I Am, But What Are You?",Samantha Bee,"Bee, Samantha",,"=""""","=""""",4,3.56,,Kindle Edition,260,,2010,2017/05/28,2017/05/28,,,read,,,,1,,,0,,,,,
31938963,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.53,Bloomsbury USA Childrens,Kindle Edition,707,2017,2017,2017/05/12,2017/05/07,,,read,,,,1,,,0,,,,,
24367204,Why Not Me?,Mindy Kaling,"Kaling, Mindy",,"=""""","=""""",4,3.89,Crown Archetype,Kindle Edition,240,2015,2015,2017/05/07,2017/05/07,,,read,,,,1,,,0,,,,,
17927395,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.72,Bloomsbury USA Childrens,Kindle Edition,626,2016,2016,,2017/04/27,,,read,,,,1,,,0,,,,,
23666139,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",4,4.28,Bloomsbury USA Children's,Kindle Edition,432,2015,2015,,2017/04/27,,,read,,,,1,,,0,,,,,
23243709,"The Unkindest Tide (October Daye, #13)",Seanan McGuire,"McGuire, Seanan",,"=""""","=""""",0,4.36,DAW Books,,,2019,2019,,2017/04/24,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
23243695,"Night and Silence (October Daye, #12)",Seanan McGuire,"McGuire, Seanan",,"=""""","=""""",0,4.18,DAW Books,,,2018,2018,,2017/04/24,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
23383896,"The Brightest Fell (October Daye, #11)",Seanan McGuire,"McGuire, Seanan",,"=""0756413311""","=""9780756413316""",0,4.43,DAW,Hardcover,368,2017,2017,,2017/04/24,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
28815482,"Once Broken Faith (October Daye, #10)",Seanan McGuire,"McGuire, Seanan",,"=""0756408105""","=""9780756408107""",5,4.39,DAW,Mass Market Paperback,420,2016,2016,,2017/04/24,"ya, to-read","ya (#66), to-read (#33)",to-read,,,,1,,,0,,,,,
28360360,"Full of Briars (October Daye, #9.3)",Seanan McGuire,"McGuire, Seanan",,"=""""","=""""",0,4.09,DAW,Kindle Edition,44,2016,2016,,2017/04/24,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
15748535,"A Red-Rose Chain (October Daye, #9)",Seanan McGuire,"McGuire, Seanan",,"=""1472120205""","=""9781472120205""",5,4.30,Corsair ,Paperback,367,2016,2015,,2017/04/24,ya,ya (#65),read,,,,1,,,0,,,,,
